,이름,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,구우편번호,신우편번호,경도,위도
0,손가네빈대떡 ,손가네빈대떡,,음식,한식,서울특별시,서대문구,홍은2동,홍은동,서울특별시 서대문구 홍은동 409-51,서울특별시 서대문구 증가로10길,서울특별시 서대문구 증가로10길 63,120100,3662.0,126.925257189346,37.5796796954176
1,ZINO본점 본점,ZINO본점,본점,음식,양식,서울특별시,서대문구,신촌동,대신동,서울특별시 서대문구 대신동 84-1,서울특별시 서대문구 연대동문길,서울특별시 서대문구 연대동문길 45,120160,3721.0,126.944391047112,37.5644085632472
2,플라토어학학원 ,플라토어학학원,,음식,닭/오리요리,서울특별시,서대문구,홍은2동,홍은동,서울특별시 서대문구 홍은동 426,서울특별시 서대문구 연희로,서울특별시 서대문구 연희로 286,120100,3653.0,126.936435522898,37.582583166292
3,에브리키친 ,에브리키친,,음식,한식,서울특별시,서대문구,홍제1동,홍제동,서울특별시 서대문구 홍제동 82,서울특별시 서대문구 통일로25길,서울특별시 서대문구 통일로25길 30,120782,3730.0,126.94721576252,37.5832654824073
4,참숯돼지천국 ,참숯돼지천국,,음식,한식,서울특별시,서대문구,홍은1동,홍은동,서울특별시 서대문구 홍은동 9-43,서울특별시 서대문구 홍은중앙로,서울특별시 서대문구 홍은중앙로 118,120100,3605.0,126.949231520128,37.6009527502764
5,룰루랄라 ,룰루랄라,,음식,유흥주점,서울특별시,서대문구,북가좌2동,북가좌동,서울특별시 서대문구 북가좌동 343-11,서울특별시 서대문구 증가로,서울특별시 서대문구 증가로 261,120130,3678.0,126.910988113755,37.5838378367067
6,행복한집 ,행복한집,,음식,분식,서울특별시,서대문구,충현동,북아현동,서울특별시 서대문구 북아현동 3-159,서울특별시 서대문구 북아현로14길,서울특별시 서대문구 북아현로14길 6,120818,3750.0,126.955883549154,37.5625374861787
7,풍전에프앤비서울간호대식당 ,풍전에프앤비서울간호대식당,,음식,기타음식업,서울특별시,서대문구,홍제3동,홍제동,서울특별시 서대문구 홍제동 287-89,서울특별시 서대문구 간호대로,서울특별시 서대문구 간호대로 38,120742,3617.0,126.94773912769,37.5975605745828
8,가이오국수 ,가이오국수,,음식,분식,서울특별시,서대문구,홍제1동,홍제동,서울특별시 서대문구 홍제동 315-21,서울특별시 서대문구 통일로37길,서울특별시 서대문구 통일로37길 15,120090,3646.0,126.944291071767,37.5875282924699
9,전생에밀가루 ,전생에밀가루,,음식,한식,서울특별시,서대문구,충현동,충정로2가,서울특별시 서대문구 충정로2가 35,서울특별시 서대문구 충정로11길,서울특별시 서대문구 충정로11길 20,120012,3735.0,126.96524783861,37.5655573258124
